1,"Goroka","Goroka","Papua New Guinea","GKA","AYGA"
2,"Madang","Madang","Papua New Guinea","MAG","AYMD"
3,"Mount Hagen","Mount Hagen","Papua New Guinea","HGU","AYMH"
4,"Nadzab","Nadzab","Papua New Guinea","LAE","AYNZ"
5,"Port Moresby Jacksons Intl","Port Moresby","Papua New Guinea","POM","AYPY"
6,"Wewak Intl","Wewak","Papua New Guinea","WWK","AYWK"
7,"Narsarsuaq","Narssarssuaq","Greenland","UAK","BGBW"
8,"Nuuk","Godthaab","Greenland","GOH","BGGH"
9,"Sondre Stromfjord","Sondrestrom","Greenland","SFJ","BGSF"
10,"Thule Air Base","Thule","Greenland","THU","BGTL"
